# Deep-sky objects — format: id,name,ra_hours,dec_degrees,magnitude,type
# To expand: replace with OpenNGC CSV (github.com/mattiaverga/OpenNGC)
# Type codes: oc=open cluster  gc=globular cluster  neb=nebula  gal=galaxy  pn=planetary nebula
#
# DSOs from OpenNGC — id,name,ra_hours,dec_degrees,magnitude,type
NGC2182,NGC 2182,6.158597,-6.326444,9.0,neb
NGC2188,NGC 2188,6.169314,-34.106194,11.67,gal
NGC2196,NGC 2196,6.202681,-21.805944,11.19,gal
NGC2207,NGC 2207,6.272786,-21.372667,11.06,gal
NGC2217,NGC 2217,6.361050,-27.233750,10.57,gal
NGC2223,NGC 2223,6.409975,-22.838250,11.87,gal
NGC2238,Rosette Nebula,6.511214,5.013056,6.0,neb
NGC2239,NGC 2239,6.532100,4.942944,4.8,oc
NGC2245,NGC 2245,6.544792,10.156639,11.0,neb
NGC2247,NGC 2247,6.551444,10.322250,8.5,neb
NGC2258,NGC 2258,6.796056,74.481667,11.87,gal
NGC2261,Hubble's Nebula,6.652642,8.744333,11.85,neb
NGC2264,Christmas Tree Cluster,6.682847,9.895472,3.9,oc
NGC2268,NGC 2268,7.238178,84.382278,11.56,gal
NGC2272,NGC 2272,6.711472,-27.459500,11.94,gal
NGC2276,NGC 2276,7.453989,85.754556,11.5,gal
NGC2280,NGC 2280,6.746975,-27.638611,11.12,gal
NGC2282,NGC 2282,6.780992,1.316000,10.0,neb
NGC2292,NGC 2292,6.794347,-26.746250,11.83,gal
NGC2293,NGC 2293,6.795253,-26.754361,11.04,gal
NGC2300,NGC 2300,7.538881,85.709500,11.16,gal
NGC2305,NGC 2305,6.810381,-64.273194,11.7,gal
NGC2310,NGC 2310,6.898322,-40.862611,11.81,gal
NGC2320,NGC 2320,7.095008,50.581056,11.94,gal
NGC2325,NGC 2325,7.044556,-28.697222,11.18,gal
NGC2336,NGC 2336,7.451125,80.178083,10.68,gal
NGC2339,NGC 2339,7.139039,18.780250,11.76,gal
NGC2340,NGC 2340,7.186342,50.174750,11.73,gal
NGC2346,NGC 2346,7.156392,-0.809139,11.6,pn
NGC2366,NGC 2366,7.481850,69.215778,11.17,gal
NGC2371,NGC 2371,7.426294,29.490639,11.2,pn
NGC2380,NGC 2380,7.398542,-27.529056,11.12,gal
NGC2392,Eskimo Nebula,7.486322,20.911833,9.61,pn
NGC2397,NGC 2397,7.355550,-69.001472,11.97,gal
NGC2403,NGC 2403,7.614278,65.602556,8.43,gal
NGC2427,NGC 2427,7.607828,-47.635556,11.48,gal
NGC2434,NGC 2434,7.580878,-69.284139,11.34,gal
NGC2438,NGC 2438,7.697331,-14.735778,10.8,pn
NGC2440,NGC 2440,7.698711,-18.208472,9.4,pn
NGC2442,NGC 2442,7.606622,-69.530833,10.63,gal
NGC2452,NGC 2452,7.790658,-27.334000,12.0,pn
NGC2460,NGC 2460,7.947858,60.349389,11.71,gal
NGC2500,NGC 2500,8.031447,50.737111,11.65,gal
NGC2502,NGC 2502,7.930978,-52.306778,11.96,gal
NGC2513,NGC 2513,8.040186,9.413556,11.63,gal
